@timestamp,@billedDuration,@duration,@maxMemoryUsed,@in
2021-11-25 16:43:29.842,37,36,202000000,
2021-11-25 16:43:30.943,32,31.67,202000000,
2021-11-25 16:43:32.040,32,31.56,202000000,
2021-11-25 16:43:33.142,40,39.4,202000000,
2021-11-25 16:43:34.260,52,51.6,202000000,
2021-11-25 16:43:35.360,48,47.38,202000000,
2021-11-25 16:43:36.480,65,64.4,202000000,
2021-11-25 16:43:37.544,32,31.47,202000000,
2021-11-25 16:43:38.642,32,31.95,202000000,
2021-11-25 16:43:39.760,47,46.03,202000000,
2021-11-25 16:43:40.864,55,54.42,202000000,
2021-11-25 16:43:41.980,51,50.25,202000000,
2021-11-25 16:43:43.080,47,46.69,202000000,
2021-11-25 16:43:44.163,32,31.49,202000000,
2021-11-25 16:43:45.262,32,31.47,202000000,
2021-11-25 16:43:46.364,37,36.43,202000000,
2021-11-25 16:43:47.460,32,31.8,202000000,
2021-11-25 16:43:48.561,44,43.64,202000000,
2021-11-25 16:43:49.662,44,43.32,202000000,
2021-11-25 16:43:50.763,36,35.4,202000000,
2021-11-25 16:43:51.880,49,48.2,202000000,
2021-11-25 16:43:52.963,32,31.68,202000000,
2021-11-25 16:43:54.081,48,47.49,202000000,
2021-11-25 16:43:55.183,36,35.2,202000000,
2021-11-25 16:43:56.280,32,31.79,202000000,
2021-11-25 16:43:57.404,66,65.36,202000000,
2021-11-25 16:43:58.481,36,35.6,202000000,
2021-11-25 16:43:59.600,45,44.14,202000000,
2021-11-25 16:44:00.700,37,36.68,202000000,
2021-11-25 16:44:01.804,37,36.08,202000000,
2021-11-25 16:44:02.902,40,39.4,202000000,
2021-11-25 16:44:04.020,37,36.12,202000000,
2021-11-25 16:44:05.140,48,47.96,202000000,
2021-11-25 16:44:06.220,37,36.54,202000000,
2021-11-25 16:44:07.320,44,43.77,202000000,
2021-11-25 16:44:08.440,57,56.72,202000000,
2021-11-25 16:44:09.540,56,55.01,202000000,
2021-11-25 16:44:10.640,47,46.92,202000000,
2021-11-25 16:44:11.740,36,35.9,202000000,
2021-11-25 16:44:12.843,37,36.11,202000000,
2021-11-25 16:44:13.961,50,49.3,202000000,
2021-11-25 16:44:15.080,47,46.75,202000000,
2021-11-25 16:44:16.182,36,35.66,202000000,
2021-11-25 16:44:17.284,32,31.92,202000000,
